epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3112.85,0.62807,1.29432,0.64147,1.08012,0.85981,0.8061,0.85551,0.75368,0.86493,0.80243,0.85015,0.74408,0.5004,1.51852,0.63697,1.02864,0.007426,0.007426,0.007426
41,3189.42,0.63016,1.32728,0.64334,1.07456,0.85455,0.8047,0.8587,0.75588,0.86113,0.79545,0.85062,0.74809,0.49699,1.51044,0.62161,1.02647,0.00736,0.00736,0.00736
42,3266.35,0.63286,1.29542,0.63989,1.07218,0.87369,0.79068,0.85381,0.75334,0.87164,0.79067,0.84781,0.7481,0.49258,1.50573,0.62092,1.02447,0.007294,0.007294,0.007294
43,3344.29,0.61817,1.28251,0.62815,1.07273,0.8403,0.80314,0.84898,0.75134,0.83987,0.80344,0.84409,0.74178,0.49153,1.50821,0.63047,1.02418,0.007228,0.007228,0.007228
44,3421.55,0.6117,1.29061,0.6249,1.06278,0.86663,0.80527,0.85441,0.75365,0.86655,0.80577,0.84796,0.74705,0.48903,1.49233,0.6177,1.01923,0.007162,0.007162,0.007162
45,3498.13,0.61692,1.28916,0.61851,1.06158,0.87459,0.80625,0.85438,0.75544,0.87633,0.80601,0.84954,0.74812,0.48699,1.49194,0.61964,1.02043,0.007096,0.007096,0.007096
46,3574.59,0.61977,1.31321,0.6227,1.0668,0.8628,0.81146,0.85862,0.76099,0.85811,0.81595,0.85471,0.75062,0.48562,1.49432,0.6119,1.01784,0.00703,0.00703,0.00703
47,3653.12,0.61195,1.30106,0.61177,1.06271,0.86217,0.80415,0.85833,0.76203,0.85944,0.8079,0.85526,0.75198,0.48451,1.49376,0.62127,1.01704,0.006964,0.006964,0.006964
48,3729.48,0.61058,1.29277,0.60918,1.0616,0.86365,0.79834,0.8541,0.75753,0.84741,0.7983,0.84681,0.74998,0.48371,1.49284,0.62547,1.01438,0.006898,0.006898,0.006898
49,3806.06,0.61029,1.27216,0.60022,1.05965,0.87282,0.80411,0.85814,0.76058,0.86432,0.801,0.85131,0.75323,0.48188,1.48685,0.61432,1.01286,0.006832,0.006832,0.006832
50,3884.98,0.6057,1.26386,0.59977,1.05821,0.85595,0.81233,0.85506,0.75657,0.85,0.80868,0.84714,0.75164,0.47911,1.4859,0.61961,1.01005,0.006766,0.006766,0.006766
